ETA,VIN,Year,Model,Hold Status,Pre-Sold,Shipping Status,Total MSRP,Exterior Color,Interior Color,Distance,Dealer,Dealer Website,SmartPath,Options
2024-03-03T00:00:00.000Z,5TDERKEC4RS196044,2024,Sienna Platinum,,False,At dealer,56691,Ruby Flare Pearl [extra_cost_color],Nobel Brown Leather,173,Toyota of Deerfield Beach,https://www.toyotaofdeerfieldbeach.com,False,50 State Emissions | 6-Gallons of Gas | Body Side Molding | Clear Paint Protection - Full Hood Package | Mudguards | Phone Cable Charge Package | Platinum Package | SET Digital Portfolio | SPECIAL COLOR | TOYOGUARD Platinum
2024-03-02T00:00:00.000Z,5TDERKEC4RS196514,2024,Sienna Platinum,Available,False,At dealer,57120,Ruby Flare Pearl [extra_cost_color],Nobel Brown Leather,194,Toyota of North Miami,https://www.toyotaofnorthmiami.com,False,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | Body Side Molding | Clear Paint Protection - Full Hood Package | Mudguards | Phone Cable Charge Package | Platinum Package | SET Digital Portfolio | SPECIAL COLOR | TOYOGUARD Platinum
2024-03-27T00:00:00.000Z,5TDERKEC4RS198344,2024,Sienna Platinum,Available,False,Factory to port,56192,Ruby Flare Pearl [extra_cost_color],Nobel Brown Leather,89,Beaver Toyota of St. Augustine,https://www.beavertoyotastaugustine.com,False,50 State Emissions | 6-Gallons of Gas | Body Side Molding | Mudguards | Phone Cable Charge Package | Platinum Package | SET Digital Portfolio | SPECIAL COLOR | TOYOGUARD Platinum
2024-04-13T00:00:00.000Z,5TDERKEC5RS11O072,2024,Sienna Platinum,,False,Factory to port,55389,Celestial Silver Metallic,Nobel Brown Leather,93,AutoNation Toyota Pinellas Park,https://www.autonationtoyotapinellaspark.com,True,50 State Emissions | 6-Gallons of Gas | Mudguards | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum
2024-04-21T00:00:00.000Z,5TDERKEC5RS12M978,2024,Sienna Platinum,DealerHold,True,Factory to port,57034,Blueprint,Nobel Brown Leather,5,AutoNation Toyota Winter Park,https://www.autonationtoyotawinterpark.com,True,1500W Inverter with Two 120V AC Outlets | 50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Digital Rear View Mirror with Homelink | Mudguards | Platinum Package | Rear Seat Entertainment System- | SET Digital Portfolio
2024-05-13T00:00:00.000Z,5TDERKEC5RS15E003,2024,Sienna Platinum,,False,Factory to port,59478,Predawn Gray Mica,Nobel Brown Leather,172,Al Hendrickson Toyota,https://www.alhendricksontoyota.com,False,1500W Inverter with Two 120V AC Outlets | 50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Digital Rear View Mirror with Homelink | Illuminated Door Sills | Mudguards | Paint Protection Film - Hood & Door Package | Phone Cable Charge Package | Platinum Package | Rear Seat Entertainment System- | SET Digital Portfolio | SmartLED Ambient Lighting | TOYOGUARD Platinum
2024-03-24T00:00:00.000Z,5TDERKEC5RS198031,2024,Sienna Platinum,DealerHold,False,Factory to port,56612,Ruby Flare Pearl [extra_cost_color],Nobel Brown Leather,209,West Kendall Toyota,https://www.westkendalltoyota.com,False,50 State Emissions | 6-Gallons of Gas | Body Side Molding | Clear Paint Protection - Full Hood Package | Mudguards | Platinum Package | SET Digital Portfolio | SPECIAL COLOR | TOYOGUARD Platinum
2024-03-26T00:00:00.000Z,5TDERKEC5RS198207,2024,Sienna Platinum,DealerHold,False,Factory to port,57041,Ruby Flare Pearl [extra_cost_color],Nobel Brown Leather,72,Courtesy Toyota,https://www.courtesytoyota.com,False,50 State Emissions | 6-Gallons of Gas | Body Side Molding | Carpet Floor Mats | Clear Paint Protection - Full Hood Package | Mudguards | Platinum Package | SET Digital Portfolio | SPECIAL COLOR | TOYOGUARD Platinum
2024-03-27T00:00:00.000Z,5TDERKEC5RS198420,2024,Sienna Platinum,Available,False,Factory to port,56505,Blueprint,Nobel Brown Leather,112,Coggin Toyota at the Avenues,https://www.coggintoyota.com,False,50 State Emissions | 6-Gallons of Gas | Body Side Molding | Clear Paint Protection - Full Hood Package | Cross Bars | Mudguards | Phone Cable Charge Package | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum
2024-04-09T00:00:00.000Z,5TDERKEC6RS11O291,2024,Sienna Platinum,Available,False,Factory to port,57020,Wind Chill Pearl [extra_cost_color],Nobel Brown Leather,50,Daytona Toyota,https://www.daytonatoyota.com,False,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | Clear Paint Protection - Door Package | Illuminated Door Sills | Mudguards | Phone Cable Charge Package | Platinum Package | SET Digital Portfolio | SPECIAL COLOR | TOYOGUARD Platinum
